data,cotas_cs,cotas_pf,altura_mare,precipitacao,d-7,d-14,d-21,d-28,d-30
2000-01-01,,,0.9,296.0,,,,,
2000-01-02,,,0.9,207.75,,,,,
2000-01-03,,,0.9,1187.75,,,,,
2000-01-04,,,1.0,17357.0,,,,,
2000-01-05,,,1.0,31482.625,,,,,
2000-01-06,,,1.0,14873.625,,,,,
2000-01-07,,,1.0,15206.625,,,,,
2000-01-08,,,1.1,1389.5,80611.375,,,,
2000-01-09,,,1.0,518.25,81704.875,,,,
2000-01-10,,,1.0,7540.875,82015.375,,,,
2000-01-11,266.0,,1.0,1169.25,88368.5,,,,
2000-01-12,305.0,,0.9,4413.75,72180.75,,,,
2000-01-13,,,0.8,2790.5,45111.875,,,,
2000-01-14,287.0,,0.8,99.875,33028.75,,,,
2000-01-15,256.0,,0.8,1670.625,17922.0,98533.375,,,
2000-01-16,276.0,234.0,0.7,25933.0,18203.125,99908.0,,,
2000-01-17,298.0,,0.9,42172.375,43617.875,125633.25,,,
2000-01-18,,,1.0,37193.75,78249.375,166617.875,,,
2000-01-19,,,1.1,10634.5,114273.875,186454.625,,,
2000-01-20,,,1.1,10823.0,120494.625,165606.5,,,
2000-01-21,,,1.2,380.75,128527.125,161555.875,,,
2000-01-22,,,1.1,36.25,128808.0,146730.0,227341.375,,
2000-01-23,,,1.1,438.5,127173.625,145376.75,227081.625,,
2000-01-24,,,1.1,1284.125,101679.125,145297.0,227312.375,,
2000-01-25,,,1.0,17332.0,60790.875,139040.25,227408.75,,
2000-01-26,,,0.9,25181.0,40929.125,155203.0,227383.75,,
2000-01-27,,,0.9,1379.75,55475.625,175970.25,221082.125,,
2000-01-28,,,0.8,4405.0,46032.375,174559.5,207588.25,,
2000-01-29,,,0.8,91334.5,50056.625,178864.625,196786.625,277398.0,
2000-01-30,,,0.8,809.125,141354.875,268528.5,286731.625,368436.5,
2000-01-31,,,0.8,3769.0,141725.5,243404.625,287022.5,369037.875,369541.625
2000-02-01,,,0.9,34627.375,144210.375,205001.25,283250.625,371619.125,373014.625
2000-02-02,,,0.9,342.375,161505.75,202434.875,316708.75,388889.5,407434.25
2000-02-03,,,1.0,185.25,136667.125,192142.75,312637.375,357749.25,406588.875
2000-02-04,,282.0,1.0,133.5,135472.625,181505.0,310032.125,343060.875,389417.125
2000-02-05,,,1.1,19.25,131201.125,181257.75,310065.75,327987.75,358068.0
2000-02-06,,,1.1,544.875,39885.875,181240.75,308414.375,326617.5,343213.625
2000-02-07,,,1.1,18671.25,39621.625,181347.125,283026.25,326644.125,328551.875
