,data,cotas
3,1989-01-04,268
4,1989-01-05,626
5,1989-01-06,334
6,1989-01-07,266
7,1989-01-08,320
8,1989-01-09,334
29,1989-01-30,328
31,1989-02-01,244
32,1989-02-02,247
33,1989-02-03,260
53,1989-02-23,220
78,1989-03-20,530
79,1989-03-21,235
91,1989-04-02,239
123,1989-05-04,234
124,1989-05-05,420
125,1989-05-06,295
236,1989-08-25,236
251,1989-09-09,260
253,1989-09-11,554
254,1989-09-12,320
255,1989-09-13,239
256,1989-09-14,250
360,1989-12-27,255
361,1989-12-28,390
362,1989-12-29,590
363,1989-12-30,283
364,1989-12-31,377
365,1990-01-01,260
366,1990-01-02,290
367,1990-01-03,254
370,1990-01-06,220
371,1990-01-07,286
372,1990-01-08,259
378,1990-01-14,245
379,1990-01-15,349
380,1990-01-16,239
381,1990-01-17,228
382,1990-01-18,224
383,1990-01-19,336
384,1990-01-20,228
385,1990-01-21,226
386,1990-01-22,228
407,1990-02-12,380
408,1990-02-13,320
409,1990-02-14,279
410,1990-02-15,244
411,1990-02-16,268
417,1990-02-22,238
418,1990-02-23,237
429,1990-03-06,239
437,1990-03-14,214
447,1990-03-24,215
521,1990-06-06,214
565,1990-07-20,279
595,1990-08-19,310
596,1990-08-20,240
614,1990-09-07,298
615,1990-09-08,562
616,1990-09-09,236
647,1990-10-10,266
652,1990-10-15,264
655,1990-10-18,265
656,1990-10-19,316
657,1990-10-20,217
669,1990-11-01,296
676,1990-11-08,216
677,1990-11-09,342
740,1991-01-11,278
754,1991-01-25,375
755,1991-01-26,263
769,1991-02-09,238
770,1991-02-10,249
771,1991-02-11,227
800,1991-03-12,214
901,1991-06-21,214
978,1991-10-06,448
982,1991-10-10,232
1000,1991-10-28,239
1005,1991-11-02,219
1006,1991-11-03,252
1007,1991-11-04,218
1018,1991-11-15,700
1019,1991-11-16,260
1021,1991-11-18,226
1049,1991-12-16,227
1058,1991-12-25,249
1090,1992-01-26,447
1091,1992-01-27,222
1092,1992-01-28,265
1096,1992-02-01,492
1097,1992-02-02,352
1098,1992-02-03,250
1099,1992-02-04,255
1100,1992-02-05,548
1101,1992-02-06,430
1102,1992-02-07,330
1103,1992-02-08,558
1104,1992-02-09,500
1105,1992-02-10,325
1106,1992-02-11,256
1107,1992-02-12,243
1113,1992-02-18,267
1120,1992-02-25,232
1128,1992-03-04,370
1130,1992-03-06,224
1143,1992-03-19,259
1213,1992-05-28,286
1214,1992-05-29,313
1215,1992-05-30,256
1216,1992-05-31,268
1246,1992-06-30,288
1247,1992-07-01,265
1252,1992-07-06,318
1287,1992-08-10,216
1318,1992-09-10,260
1319,1992-09-11,220
1320,1992-09-12,260
1321,1992-09-13,366
1394,1992-11-25,215
1459,1993-01-29,296
1460,1993-01-30,225
1461,1993-01-31,265
1462,1993-02-01,310
1463,1993-02-02,305
1464,1993-02-03,246
1470,1993-02-09,326
1479,1993-02-18,255
1491,1993-03-02,234
1508,1993-03-19,299
1613,1993-07-02,638
1614,1993-07-03,273
1615,1993-07-04,232
1696,1993-09-23,320
1697,1993-09-24,290
1700,1993-09-27,248
1707,1993-10-04,307
1708,1993-10-05,280
1789,1993-12-25,268
1790,1993-12-26,230
1793,1993-12-29,323
1794,1993-12-30,326
1809,1994-01-14,327
1829,1994-02-03,316
1831,1994-02-05,284
1837,1994-02-11,332
1839,1994-02-13,315
1840,1994-02-14,260
1841,1994-02-15,236
1848,1994-02-22,237
1851,1994-02-25,261
1863,1994-03-09,602
1864,1994-03-10,322
1865,1994-03-11,266
1866,1994-03-12,221
1872,1994-03-18,220
1873,1994-03-19,237
1927,1994-05-12,318
1981,1994-07-05,223
2152,1994-12-23,240
2157,1994-12-28,280
2159,1994-12-30,240
2160,1994-12-31,350
2166,1995-01-06,277
2169,1995-01-09,215
2170,1995-01-10,463
2172,1995-01-12,251
2173,1995-01-13,247
2174,1995-01-14,548
2175,1995-01-15,272
2176,1995-01-16,256
2180,1995-01-20,223
2181,1995-01-21,342
2183,1995-01-23,261
2193,1995-02-02,334
2197,1995-02-06,220
2214,1995-02-23,284
2215,1995-02-24,240
2220,1995-03-01,300
2221,1995-03-02,237
2426,1995-09-23,235
2517,1995-12-23,232
2518,1995-12-24,700
2519,1995-12-25,533
2521,1995-12-27,217
2522,1995-12-28,388
2523,1995-12-29,515
2543,1996-01-18,249
2554,1996-01-29,215
2573,1996-02-17,249
2584,1996-02-28,408
2715,1996-07-08,335
2716,1996-07-09,257
2777,1996-09-08,358
2797,1996-09-28,295
2873,1996-12-13,312
2911,1997-01-20,398
2912,1997-01-21,283
2915,1997-01-24,233
2916,1997-01-25,303
2917,1997-01-26,700
2918,1997-01-27,505
2919,1997-01-28,254
2920,1997-01-29,225
2922,1997-01-31,319
2923,1997-02-01,448
2924,1997-02-02,483
2925,1997-02-03,234
2926,1997-02-04,217
2945,1997-02-23,276
2999,1997-04-18,237
3148,1997-09-14,315
3173,1997-10-09,371
3174,1997-10-10,498
3185,1997-10-21,568
3186,1997-10-22,292
3200,1997-11-05,232
3201,1997-11-06,255
3222,1997-11-27,441
3232,1997-12-07,245
3235,1997-12-10,344
3247,1997-12-22,294
3260,1998-01-04,444
3261,1998-01-05,278
3262,1998-01-06,224
3287,1998-01-31,215
3297,1998-02-10,228
3311,1998-02-24,239
3314,1998-02-27,215
3315,1998-02-28,242
3333,1998-03-18,363
3334,1998-03-19,274
3345,1998-03-30,245
3370,1998-04-24,348
3373,1998-04-27,310
3374,1998-04-28,452
3431,1998-06-24,251
