,data,cotas_cs
3997,2000-01-11,266
3998,2000-01-12,305
4000,2000-01-14,287
4001,2000-01-15,256
4002,2000-01-16,276
4003,2000-01-17,298
4031,2000-02-14,310
4032,2000-02-15,325
4033,2000-02-16,278
4052,2000-03-06,510
4234,2001-02-04,558
4235,2001-02-05,522
4236,2001-02-06,286
4249,2001-02-19,329
4258,2001-02-28,368
4264,2001-03-06,312
4323,2001-05-04,368
4347,2001-05-28,352
4375,2001-06-25,358
4376,2001-06-26,256
4400,2001-07-20,296
4465,2001-09-23,500
4466,2001-09-24,331
4472,2001-09-30,607
4473,2001-10-01,688
4474,2001-10-02,264
4480,2001-10-08,345
4481,2001-10-09,291
4514,2001-11-11,229
4547,2001-12-14,263
4556,2001-12-23,243
4574,2002-01-10,216
4576,2002-01-12,256
4577,2002-01-13,286
4782,2002-08-06,228
4867,2002-10-30,276
4897,2002-11-29,228
4906,2002-12-08,248
4913,2002-12-15,258
4929,2002-12-31,216
4969,2003-02-09,256
4998,2003-03-10,225
5284,2003-12-21,328
5319,2004-01-25,248
5368,2004-03-14,418
5374,2004-03-20,346
5390,2004-04-05,286
5391,2004-04-06,218
5563,2005-01-25,278
5580,2005-02-11,911
5587,2005-02-18,219
5594,2005-02-25,302
5667,2005-05-09,418
5676,2005-05-18,406
5677,2005-05-19,237
5781,2005-08-31,378
5782,2005-09-01,327
5785,2005-09-04,312
5800,2005-09-19,385
5804,2005-09-23,378
5817,2005-10-06,224
5827,2005-10-16,245
5835,2005-10-24,233
5836,2005-10-25,215
5840,2005-10-29,215
5926,2006-01-23,244
5927,2006-01-24,336
6248,2006-12-11,442
6251,2006-12-14,214
6280,2007-01-12,258
6330,2007-03-03,228
6341,2007-03-14,268
6538,2007-09-27,258
6664,2008-01-31,728
6665,2008-02-01,491
6685,2008-02-21,246
6693,2008-02-29,298
6694,2008-03-01,338
6744,2008-04-20,216
6745,2008-04-21,306
6753,2008-04-29,294
6757,2008-05-03,298
6758,2008-05-04,221
6905,2008-09-28,226
6925,2008-10-18,296
6926,2008-10-19,234
6932,2008-10-25,236
6933,2008-10-26,221
6944,2008-11-06,226
6945,2008-11-07,244
6948,2008-11-10,278
6951,2008-11-13,228
6958,2008-11-20,221
6959,2008-11-21,436
6960,2008-11-22,700
6961,2008-11-23,678
6962,2008-11-24,625
6963,2008-11-25,471
6964,2008-11-26,328
6965,2008-11-27,252
6966,2008-11-28,235
6967,2008-11-29,221
6968,2008-11-30,253
6969,2008-12-01,230
6971,2008-12-03,296
6972,2008-12-04,242
6980,2008-12-12,248
6984,2008-12-16,411
6985,2008-12-17,229
7009,2009-01-10,246
7019,2009-01-20,219
7067,2009-03-09,229
7071,2009-03-13,246
7076,2009-03-18,218
7112,2009-04-23,299
7113,2009-04-24,249
7114,2009-04-25,276
7157,2009-06-07,1110
7196,2009-07-16,278
7197,2009-07-17,296
7252,2009-09-10,218
7270,2009-09-28,379
7296,2009-10-24,1115
7330,2009-11-27,226
7334,2009-12-01,266
7350,2009-12-17,319
7370,2010-01-06,236
7374,2010-01-10,285
7376,2010-01-12,218
7404,2010-02-09,298
7429,2010-03-06,243
7449,2010-03-26,310
7476,2010-04-22,268
7477,2010-04-23,292
7478,2010-04-24,231
7496,2010-05-12,401
7502,2010-05-18,218
7503,2010-05-19,478
7504,2010-05-20,216
7508,2010-05-24,302
7519,2010-06-04,378
7520,2010-06-05,271
7628,2010-09-21,219
7697,2010-11-29,228
7745,2011-01-16,396
7751,2011-01-22,368
7752,2011-01-23,408
7767,2011-02-07,316
7770,2011-02-10,268
7771,2011-02-11,228
7782,2011-02-22,238
7787,2011-02-27,219
7800,2011-03-12,466
7801,2011-03-13,516
7802,2011-03-14,240
7949,2011-08-08,228
7950,2011-08-09,606
7951,2011-08-10,238
7965,2011-08-24,278
7966,2011-08-25,226
7970,2011-08-29,412
7971,2011-08-30,466
7972,2011-08-31,251
7980,2011-09-08,496
7981,2011-09-09,358
7982,2011-09-10,229
8076,2011-12-13,303
8077,2011-12-14,216
8095,2012-01-01,339
8112,2012-01-18,268
8268,2012-06-22,280
8503,2013-02-12,250
8506,2013-02-15,226
8507,2013-02-16,216
8524,2013-03-05,280
8539,2013-03-20,252
8540,2013-03-21,591
8554,2013-04-04,495
8555,2013-04-05,248
8723,2013-09-20,286
8724,2013-09-21,408
8725,2013-09-22,418
8883,2014-02-27,480
8897,2014-03-13,220
8985,2014-06-09,241
9005,2014-06-29,223
9099,2014-10-01,220
9112,2014-10-14,335
9186,2014-12-27,226
9255,2015-03-06,220
9337,2015-05-27,360
9355,2015-06-14,311
9395,2015-07-24,390
9444,2015-09-11,240
9450,2015-09-17,249
9460,2015-09-27,414
9461,2015-09-28,225
9473,2015-10-10,222
9479,2015-10-16,291
9484,2015-10-21,238
9485,2015-10-22,297
9492,2015-10-29,228
9493,2015-10-30,217
9498,2015-11-04,268
9523,2015-11-29,218
9552,2015-12-28,392
9584,2016-01-29,480
9618,2016-03-03,260
9640,2016-03-25,248
9752,2016-07-15,240
9753,2016-07-16,215
9803,2016-09-04,245
9894,2016-12-04,237
9920,2016-12-30,215
10061,2017-05-20,248
10062,2017-05-21,489
10069,2017-05-28,293
10072,2017-05-31,370
10073,2017-06-01,333
10077,2017-06-05,477
10078,2017-06-06,215
10297,2018-01-11,294
10375,2018-03-30,254
10620,2018-11-30,273
10668,2019-01-17,312
10801,2019-05-30,272
10966,2019-11-11,305
10969,2019-11-14,231
11054,2020-02-07,234
11055,2020-02-08,308
11244,2020-08-15,298
11354,2020-12-03,227
11358,2020-12-07,247
11366,2020-12-15,229
11368,2020-12-17,268
11399,2021-01-17,270
11402,2021-01-20,215
11403,2021-01-21,234
11404,2021-01-22,269
11405,2021-01-23,225
11406,2021-01-24,274
11407,2021-01-25,217
11411,2021-01-29,288
11412,2021-01-30,230
11414,2021-02-01,217
11440,2021-02-27,234
11441,2021-02-28,271
11444,2021-03-03,267
11445,2021-03-04,226
11450,2021-03-09,218
11542,2021-06-09,343
11552,2021-06-19,329
11553,2021-06-20,264
11561,2021-06-28,226
11562,2021-06-29,243
11655,2021-09-30,251
11656,2021-10-01,250
11667,2021-10-12,372
11668,2021-10-13,237
11686,2021-10-31,239
11704,2021-11-18,300
11869,2022-05-02,214
11870,2022-05-03,468
11871,2022-05-04,324
11872,2022-05-05,287
11920,2022-06-22,214
11969,2022-08-10,281
12026,2022-10-06,214
12030,2022-10-10,274
12031,2022-10-11,217
12036,2022-10-16,237
12078,2022-11-27,312
12079,2022-11-28,234
12080,2022-11-29,321
12081,2022-11-30,551
12082,2022-12-01,718
12083,2022-12-02,312
12084,2022-12-03,250
12085,2022-12-04,244
12086,2022-12-05,267
12087,2022-12-06,222
12088,2022-12-07,216
12100,2022-12-19,274
12101,2022-12-20,431
12102,2022-12-21,244
12107,2022-12-26,225
12109,2022-12-28,250
